ticker,name,sector,country
MMM,3M Company,Industrials,United States
AOS,A.O. Smith Corp,Industrials,United States
ABT,Abbott Laboratories,Health Care,United States
ABBV,AbbVie Inc.,Health Care,United States
ACN,Accenture plc,Information Technology,Ireland
ATVI,Activision Blizzard,Information Technology,?
AYI,Acuity Brands Inc,Industrials,United States
ADBE,Adobe Systems Inc,Information Technology,United States
AAP,Advance Auto Parts,Consumer Discretionary,United States
AMD,Advanced Micro Devices Inc,Information Technology,United States
AES,AES Corp,Utilities,United States
AET,Aetna Inc,Health Care,?
AMG,Affiliated Managers Group Inc,Financials,United States
AFL,AFLAC Inc,Financials,United States
A,Agilent Technologies Inc,Health Care,United States
APD,Air Products & Chemicals Inc,Materials,United States
AKAM,Akamai Technologies Inc,Information Technology,United States
ALK,Alaska Air Group Inc,Industrials,United States
ALB,Albemarle Corp,Materials,United States
ARE,Alexandria Real Estate Equities Inc,Real Estate,United States
ALXN,Alexion Pharmaceuticals,Health Care,?
ALGN,Align Technology,Health Care,United States
ALLE,Allegion,Industrials,Ireland
AGN,"Allergan, Plc",Health Care,?
ADS,Alliance Data Systems,Information Technology,?
LNT,Alliant Energy Corp,Utilities,United States
ALL,Allstate Corp,Financials,United States
GOOGL,Alphabet Inc Class A,Information Technology,United States
GOOG,Alphabet Inc Class C,Information Technology,United States
MO,Altria Group Inc,Consumer Staples,United States
AMZN,Amazon.com Inc,Consumer Discretionary,United States
AEE,Ameren Corp,Utilities,United States
AAL,American Airlines Group,Industrials,United States
AEP,American Electric Power,Utilities,United States
AXP,American Express Co,Financials,United States
AIG,"American International Group, Inc.",Financials,United States
AMT,American Tower Corp A,Real Estate,United States
AWK,American Water Works Company Inc,Utilities,United States
AMP,Ameriprise Financial,Financials,United States
ABC,AmerisourceBergen Corp,Health Care,?
AME,AMETEK Inc,Industrials,United States
AMGN,Amgen Inc,Health Care,United States
APH,Amphenol Corp,Information Technology,United States
APC,Anadarko Petroleum Corp,Energy,?
ADI,"Analog Devices, Inc.",Information Technology,United States
ANDV,Andeavor,Energy,?
ANSS,ANSYS,Information Technology,United States
ANTM,Anthem Inc.,Health Care,?
AON,Aon plc,Financials,Ireland
APA,Apache Corporation,Energy,United States
AIV,Apartment Investment & Management,Real Estate,United States
AAPL,Apple Inc.,Information Technology,United States
AMAT,Applied Materials Inc,Information Technology,United States
APTV,Aptiv Plc,Consumer Discretionary,Ireland
ADM,Archer-Daniels-Midland Co,Consumer Staples,United States
ARNC,Arconic Inc,Industrials,?
AJG,Arthur J. Gallagher & Co.,Financials,United States
AIZ,Assurant Inc,Financials,United States
T,AT&T Inc,Telecommunication Services,United States
ADSK,Autodesk Inc,Information Technology,United States
ADP,Automatic Data Processing,Information Technology,United States
AZO,AutoZone Inc,Consumer Discretionary,United States
AVB,"AvalonBay Communities, Inc.",Real Estate,United States
AVY,Avery Dennison Corp,Materials,United States
BHGE,"Baker Hughes, a GE Company",Energy,?
BLL,Ball Corp,Materials,?
BAC,Bank of America Corp,Financials,United States
BAX,Baxter International Inc.,Health Care,United States
BBT,BB&T Corporation,Financials,?
BDX,Becton Dickinson,Health Care,United States
BRK.B,Berkshire Hathaway,Financials,?
BBY,Best Buy Co. Inc.,Consumer Discretionary,United States
BIIB,Biogen Inc.,Health Care,United States
BLK,BlackRock,Financials,United States
HRB,Block H&R,Financials,United States
BA,Boeing Company,Industrials,United States
BWA,BorgWarner,Consumer Discretionary,United States
BXP,Boston Properties,Real Estate,United States
BSX,Boston Scientific,Health Care,United States
BHF,Brighthouse Financial Inc,Financials,United States
BMY,Bristol-Myers Squibb,Health Care,United States
AVGO,Broadcom,Information Technology,United States
BF.B,Brown-Forman Corp.,Consumer Staples,?
CHRW,C. H. Robinson Worldwide,Industrials,United States
CA,"CA, Inc.",Information Technology,?
COG,Cabot Oil & Gas,Energy,?
CDNS,Cadence Design Systems,Information Technology,United States
CPB,Campbell Soup,Consumer Staples,United States
COF,Capital One Financial,Financials,United States
CAH,Cardinal Health Inc.,Health Care,United States
KMX,Carmax Inc,Consumer Discretionary,United States
CCL,Carnival Corp.,Consumer Discretionary,United States
CAT,Caterpillar Inc.,Industrials,United States
CBOE,CBOE Holdings,Financials,United States
CBG,CBRE Group,Real Estate,?
CBS,CBS Corp.,Consumer Discretionary,?
CELG,Celgene Corp.,Health Care,?
CNC,Centene Corporation,Health Care,United States
CNP,CenterPoint Energy,Utilities,United States
CTL,CenturyLink Inc,Telecommunication Services,?
CERN,Cerner,Health Care,?
CF,CF Industries Holdings Inc,Materials,United States
SCHW,Charles Schwab Corporation,Financials,United States
CHTR,Charter Communications,Consumer Discretionary,United States
CHK,Chesapeake Energy,Energy,United States
CVX,Chevron Corp.,Energy,United States
CMG,Chipotle Mexican Grill,Consumer Discretionary,United States
CB,Chubb Limited,Financials,Switzerland
CHD,Church & Dwight,Consumer Staples,United States
CI,CIGNA Corp.,Health Care,United States
XEC,Cimarex Energy,Energy,?
CINF,Cincinnati Financial,Financials,United States
CTAS,Cintas Corporation,Industrials,United States
CSCO,Cisco Systems,Information Technology,United States
C,Citigroup Inc.,Financials,United States
CFG,Citizens Financial Group,Financials,United States
CTXS,Citrix Systems,Information Technology,?
CME,CME Group Inc.,Financials,United States
CMS,CMS Energy,Utilities,United States
KO,Coca-Cola Company (The),Consumer Staples,United States
CTSH,Cognizant Technology Solutions,Information Technology,United States
