country_id,population,gdp,inflation,employment,unemployment,year,month,day,outlier
32,282400123,10278981972647.543,3.33,63.231,4.053,2000,2,1,-1
33,282407791,10279886294442.623,3.329,63.229,4.055,2000,2,2,-1
34,282415460,10280790616237.705,3.327,63.227,4.057,2000,2,3,-1
35,282423128,10281694938032.787,3.326,63.225,4.059,2000,2,4,-1
36,282430796,10282599259827.87,3.324,63.223,4.061,2000,2,5,-1
37,282438464,10283503581622.951,3.323,63.22,4.063,2000,2,6,-1
38,282446132,10284407903418.033,3.321,63.218,4.065,2000,2,7,-1
39,282453800,10285312225213.115,3.32,63.216,4.067,2000,2,8,-1
40,282461468,10286216547008.197,3.318,63.214,4.069,2000,2,9,-1
41,282469137,10287120868803.28,3.317,63.212,4.071,2000,2,10,-1
42,282476805,10288025190598.361,3.315,63.21,4.073,2000,2,11,-1
43,282484473,10288929512393.443,3.314,63.208,4.075,2000,2,12,-1
44,282492141,10289833834188.525,3.312,63.206,4.077,2000,2,13,-1
45,282499809,10290738155983.607,3.311,63.203,4.079,2000,2,14,-1
46,282507477,10291642477778.69,3.309,63.201,4.081,2000,2,15,-1
47,282515146,10292546799573.77,3.308,63.199,4.083,2000,2,16,-1
48,282522814,10293451121368.852,3.306,63.197,4.085,2000,2,17,-1
49,282530482,10294355443163.934,3.305,63.195,4.087,2000,2,18,-1
50,282538150,10295259764959.016,3.303,63.193,4.089,2000,2,19,-1
51,282545818,10296164086754.098,3.302,63.191,4.091,2000,2,20,-1
52,282553486,10297068408549.18,3.3,63.189,4.093,2000,2,21,-1
53,282561154,10297972730344.262,3.299,63.186,4.095,2000,2,22,-1
54,282568823,10298877052139.344,3.297,63.184,4.097,2000,2,23,-1
55,282576491,10299781373934.426,3.296,63.182,4.099,2000,2,24,-1
56,282584159,10300685695729.508,3.294,63.18,4.101,2000,2,25,-1
57,282591827,10301590017524.59,3.293,63.178,4.103,2000,2,26,-1
58,282599495,10302494339319.672,3.291,63.176,4.105,2000,2,27,-1
59,282607163,10303398661114.754,3.29,63.174,4.107,2000,2,28,-1
60,282614832,10304302982909.836,3.288,63.172,4.109,2000,2,29,-1
61,282622500,10305207304704.918,3.287,63.169,4.111,2000,3,1,-1
62,282630168,10306111626500.0,3.285,63.167,4.113,2000,3,2,-1
63,282637836,10307015948295.082,3.284,63.165,4.115,2000,3,3,-1
64,282645504,10307920270090.164,3.282,63.163,4.117,2000,3,4,-1
65,282653172,10308824591885.246,3.281,63.161,4.119,2000,3,5,-1
66,282660840,10309728913680.328,3.279,63.159,4.121,2000,3,6,-1
67,282668509,10310633235475.41,3.278,63.157,4.123,2000,3,7,-1
68,282676177,10311537557270.492,3.276,63.155,4.125,2000,3,8,-1
69,282683845,10312441879065.574,3.275,63.152,4.127,2000,3,9,-1
70,282691513,10313346200860.656,3.273,63.15,4.13,2000,3,10,-1
71,282699181,10314250522655.738,3.272,63.148,4.132,2000,3,11,-1
72,282706849,10315154844450.82,3.27,63.146,4.134,2000,3,12,-1
73,282714518,10316059166245.902,3.269,63.144,4.136,2000,3,13,-1
74,282722186,10316963488040.984,3.267,63.142,4.138,2000,3,14,-1
75,282729854,10317867809836.066,3.266,63.14,4.14,2000,3,15,-1
76,282737522,10318772131631.148,3.264,63.138,4.142,2000,3,16,-1
77,282745190,10319676453426.23,3.263,63.135,4.144,2000,3,17,-1
78,282752858,10320580775221.31,3.261,63.133,4.146,2000,3,18,-1
79,282760526,10321485097016.393,3.259,63.131,4.148,2000,3,19,-1
80,282768195,10322389418811.475,3.258,63.129,4.15,2000,3,20,-1
81,282775863,10323293740606.557,3.256,63.127,4.152,2000,3,21,-1
82,282783531,10324198062401.639,3.255,63.125,4.154,2000,3,22,-1
83,282791199,10325102384196.72,3.253,63.123,4.156,2000,3,23,-1
84,282798867,10326006705991.803,3.252,63.121,4.158,2000,3,24,-1
85,282806535,10326911027786.885,3.25,63.118,4.16,2000,3,25,-1
86,282814204,10327815349581.967,3.249,63.116,4.162,2000,3,26,-1
87,282821872,10328719671377.049,3.247,63.114,4.164,2000,3,27,-1
88,282829540,10329623993172.13,3.246,63.112,4.166,2000,3,28,-1
89,282837208,10330528314967.213,3.244,63.11,4.168,2000,3,29,-1
90,282844876,10331432636762.295,3.243,63.108,4.17,2000,3,30,-1
91,282852544,10332336958557.377,3.241,63.106,4.172,2000,3,31,-1
92,282860212,10333241280352.457,3.24,63.104,4.174,2000,4,1,-1
93,282867881,10334145602147.543,3.238,63.101,4.176,2000,4,2,-1
94,282875549,10335049923942.623,3.237,63.099,4.178,2000,4,3,-1
95,282883217,10335954245737.705,3.235,63.097,4.18,2000,4,4,-1
96,282890885,10336858567532.787,3.234,63.095,4.182,2000,4,5,-1
97,282898553,10337762889327.87,3.232,63.093,4.184,2000,4,6,-1
98,282906221,10338667211122.951,3.231,63.091,4.186,2000,4,7,-1
99,282913889,10339571532918.033,3.229,63.089,4.188,2000,4,8,-1
100,282921558,10340475854713.115,3.228,63.087,4.19,2000,4,9,-1
101,282929226,10341380176508.197,3.226,63.084,4.192,2000,4,10,-1
102,282936894,10342284498303.28,3.225,63.082,4.194,2000,4,11,-1
