,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
34615,38123,8,-0.3383289503088278,0.016501559926737866,12.144824392891856,12.483153343200684,12.483153343200684,12.144824392891856,165300,2001,11,30,-1
34616,38124,8,0.3937441664156047,0.019293921443967098,12.453986819308671,12.060242652893066,12.453986819308671,12.060242652893066,127500,2001,12,3,-1
34617,38125,8,0.4812431661219918,0.024455602778319343,12.060240778121504,11.578997611999512,12.060240778121504,11.578997611999512,95400,2001,12,4,-1
34619,38127,8,0.1399978444012362,0.006694968436042711,12.891479854288932,12.751482009887695,12.891479854288932,12.74856559674258,157200,2001,12,6,-1
34620,38128,8,-0.07291617921013582,0.008245813033649737,12.760233730763009,12.833149909973145,12.833149909973145,12.658152581884368,215100,2001,12,7,-1
34621,38129,8,0.014582901754492283,0.002191829500412322,12.8039830024625,12.789400100708008,12.809816663836138,12.763150710659303,119100,2001,12,10,-1
34623,38131,8,0.4229098516244534,0.02294524216505787,12.760229225708926,12.337319374084473,12.760229225708926,12.281903364474616,114600,2001,12,12,-1
34624,38132,8,0.10208114435015325,0.012763299835425363,12.32273944665728,12.220658302307127,12.483154700022055,12.220658302307127,113700,2001,12,13,-1
34625,38133,8,0.2799957111702387,0.018951279914707762,12.20607450755696,11.92607879638672,12.20607450755696,11.826914065907111,233400,2001,12,14,-1
34626,38134,8,-0.0029172479435626286,0.014618568134013748,11.955245059795695,11.958162307739258,12.249824518114774,11.955245059795695,106200,2001,12,17,-1
34627,38135,8,0.014582901905505707,0.008725005109457224,11.972745209644764,11.958162307739258,12.133159633964569,11.958162307739258,101400,2001,12,18,-1
34628,38136,8,-0.014582898094412045,0.004552515392204062,11.958159182594065,11.972742080688477,11.972742080688477,11.882326610487976,157800,2001,12,19,-1
34629,38137,8,-0.3208295732387789,0.021335815509105616,12.016489800845694,12.337319374084473,12.451066971343284,12.016489800845694,97200,2001,12,20,-1
34631,38139,8,-0.14583149408795748,0.011188878594083563,13.212308497672296,13.358139991760254,13.431055321577778,13.18314186507354,50700,2001,12,24,-1
34634,38142,8,0.04374869357221911,0.0038292868339111913,13.766465025054153,13.722716331481934,13.766465025054153,13.678966803456875,295500,2001,12,28,-1
34635,38143,8,-0.7729049262213756,0.0379952410861671,13.73730797203302,14.510212898254396,14.510212898254396,13.620643046020232,255900,2001,12,31,-1
34636,38144,8,0.20999757496154814,0.010618675499165838,14.145628373301392,13.935630798339844,14.145628373301392,13.897714094352793,132300,2002,1,2,-1
34637,38145,8,0.6999892399109875,0.031129442983716147,13.912299077252296,13.212309837341309,13.91521549047201,13.212309837341309,89700,2002,1,3,-1
34641,38149,8,-0.014582067309170554,0.0072620274365021555,12.001911729993076,12.016493797302246,12.133159514759315,11.987327993777775,60000,2002,1,9,-1
34642,38150,8,-0.2624963136837355,0.017242200946998135,12.016489663489116,12.278985977172852,12.36648502655169,12.016489663489116,216300,2002,1,10,-1
34644,38152,8,0.17499725385394882,0.011096124036318196,12.68731300397602,12.51231575012207,12.74564542192734,12.51231575012207,230700,2002,1,14,-1
34647,38155,8,-0.05833159211612937,0.010136284911814005,13.708133594956625,13.766465187072754,13.941463301232554,13.708133594956625,42900,2002,1,17,-1
34648,38156,8,-0.05833327189450266,0.016489519095400616,13.73730195149417,13.795635223388672,13.999798337207409,13.620637076611176,70500,2002,1,18,-1
34649,38157,8,0.1779146080799947,0.02079351084980241,13.798555362779704,13.620640754699709,13.798555362779704,13.328977654279138,130800,2002,1,22,-1
34650,38158,8,-0.029165803248718092,0.0057593103939228224,13.649804533665344,13.678970336914062,13.751886513941978,13.620637895963563,38700,2002,1,23,-1
34651,38159,8,0.2187468045467309,0.015465935830763758,13.708133363079448,13.489386558532717,13.766464954208882,13.416470400715246,125100,2002,1,24,-1
34652,38160,8,-0.14583068514971487,0.017390147634755188,13.533139651764348,13.678970336914062,13.795636053268115,13.401891033785937,88800,2002,1,25,-1
34653,38161,8,0.21874683116992522,0.02467348317375207,13.72271793102344,13.503971099853516,13.912298128626002,13.352306774880878,75300,2002,1,28,-1
34654,38162,8,-0.002916412124188028,0.0038787504682152867,13.5185498430638,13.521466255187988,13.591465152884613,13.503966947990174,27300,2002,1,29,-1
34655,38163,8,-0.07291533888618318,0.007765978435443233,13.533138967144088,13.606054306030272,13.620637206916909,13.445639892918257,67800,2002,1,30,-1
34656,38164,8,-0.02916662809499293,0.00834574008492251,13.63521630647532,13.664382934570312,13.737298253128616,13.54771725664313,36600,2002,1,31,-1
34657,38165,8,-0.04374954540780429,0.0031893804864004402,13.693555142092196,13.7373046875,13.766470494803086,13.693555142092196,9000,2002,2,1,-1
34658,38166,8,0.19541468921121385,0.00901181531407511,13.708134797243442,13.512720108032228,13.708134797243442,13.503970869119156,13200,2002,2,4,-1
34659,38167,8,0.06124884159406818,0.003916732411856146,13.445637765239088,13.38438892364502,13.46022066381808,13.372721603438366,39300,2002,2,5,-1
34660,38168,8,0.026250222127522704,0.003946762125251755,13.355223992269124,13.328973770141602,13.35814123991862,13.270642168399522,54300,2002,2,6,-1
34661,38169,8,-0.058332440304520006,0.014227134123499213,12.978980067324876,13.037312507629396,13.081062046471049,12.77481694348558,216000,2002,2,7,-1
34662,38170,8,-0.04374954064271108,0.0047050415073766816,13.022730142279652,13.066479682922363,13.081062584985572,12.97898060163694,71100,2002,2,8,-1
34663,38171,8,-0.204163922609105,0.011998299612951287,13.037310229002223,13.241474151611328,13.270640783892445,13.00814443117401,21600,2002,2,11,-1
34664,38172,8,-0.2041630745022669,0.009169023986860049,13.270639896383964,13.47480297088623,13.47480297088623,13.270639896383964,14100,2002,2,12,-1
34665,38173,8,0.29166212877044195,0.015839879565744404,13.416470440232844,13.124808311462402,13.445637070336304,13.095642515811775,74100,2002,2,13,-1
34666,38174,8,0.1312477463218773,0.009394416978830531,13.153973805281836,13.02272605895996,13.153973805281836,12.949810737053676,58500,2002,2,14,-1
34667,38175,8,-0.014582898855238113,0.001348079638114702,12.993561479806871,13.00814437866211,13.00814437866211,12.978977746498735,17100,2002,2,15,-1
34668,38176,8,0.05833244886368405,0.004576254151146899,13.037314420604408,12.978981971740724,13.063564648432942,12.964399068138093,9900,2002,2,19,-1
34669,38177,8,0.05833325935101463,0.02478965330125444,12.949810844189882,12.891477584838867,13.343554920865849,12.803979364718,88500,2002,2,20,-1
34670,38178,8,-0.11083117521700991,0.007900415724993858,12.833144273391389,12.943975448608398,12.943975448608398,12.77481185631593,132300,2002,2,21,-1
