,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
122164,134189,25,0.017801161776197727,0.01580515437946958,1.356448527346266,1.3386473655700684,1.3706894567672243,1.3350871332148289,11697300,2000,1,5,-1
122175,134200,25,0.01068069650368253,0.01863668090467794,1.2638824196024374,1.2532017230987549,1.2816835804419084,1.2425210265950724,13976300,2000,1,21,-1
122176,134201,25,0.04272278601473012,0.030118014490206475,1.295924509113485,1.2532017230987549,1.3101654377850618,1.2460812587629664,15344200,2000,1,24,-1
122178,134203,25,0.03916254560034771,0.02638321176591596,1.238960533538275,1.1997979879379272,1.2425207649564884,1.189117293683287,18969200,2000,1,26,-1
122179,134204,25,0.028481849602290277,0.029902341441470043,1.224719532898494,1.1962376832962036,1.246080920100212,1.1855569896953446,14734700,2000,1,27,-1
122180,134205,25,0.02136138620146788,0.016063515839420412,1.203358089349356,1.1819967031478882,1.21403878245009,1.1819967031478882,12021300,2000,1,28,-1
122181,134206,25,0.0035602311174312007,0.008049339915794257,1.192677424339477,1.189117193222046,1.2033581176917711,1.1873370776633303,11594900,2000,1,31,-1
122182,134207,25,0.007120462400572292,0.01075660763059388,1.203358145696776,1.1962376832962036,1.203358145696776,1.1819967584950584,13301800,2000,2,1,-1
122183,134208,25,0.01780115654974268,0.015763666264749333,1.1926774888327627,1.17487633228302,1.2024681249351212,1.1713161009730717,13933200,2000,2,2,-1
122184,134209,25,-0.003560231200286257,0.015968594632048375,1.1926774520959174,1.1962376832962036,1.221159301698208,1.1891172208956309,20018200,2000,2,3,-1
122186,134211,25,0.017801162682043348,0.016355173638693897,1.189117667160498,1.1713165044784546,1.1926778996969067,1.1606358068692286,12752400,2000,2,7,-1
122187,134212,25,0.04272277997090268,0.03617785522416977,1.153515059214372,1.1107922792434692,1.1570752908786135,1.089430889258018,26653500,2000,2,8,-1
122188,134213,25,-0.010680687275661738,0.017132860254577584,1.1072312475769384,1.1179119348526,1.1392733094039236,1.1072312475769384,18374200,2000,2,9,-1
122189,134214,25,0.007120460834143527,0.014968032197791817,1.1392737334629277,1.1321532726287842,1.1570748855482855,1.1285930422117123,15253200,2000,2,10,-1
122190,134215,25,0.049843258154196546,0.032574300958812814,1.1357142393706274,1.0858709812164309,1.1463949375465268,1.0858709812164309,15365500,2000,2,11,-1
122191,134216,25,0.021361381700723436,0.0216264717295597,1.100111157587259,1.0787497758865356,1.1072316181541668,1.0680690850361738,21123700,2000,2,14,-1
122192,134217,25,-0.0035602321811751825,0.013897904264511362,1.0858708152584,1.0894310474395752,1.0894310474395752,1.0645094221713496,15218000,2000,2,15,-1
122193,134218,25,0.003560231704460959,0.013806612753445094,1.0858706698605889,1.082310438156128,1.0965513649739718,1.071629743042745,13799900,2000,2,16,-1
122194,134219,25,0.02136138998545123,0.021007462109534362,1.1321536692289205,1.1107922792434692,1.1392741325574045,1.1001115842507436,16060300,2000,2,17,-1
122197,134222,25,0.05340347473437945,0.04304369693210842,1.2104787606459395,1.15707528591156,1.2354003821886503,1.149954822613643,14797000,2000,2,23,-1
122198,134223,25,0.02492161517574032,0.024211947563655637,1.1677556825204058,1.1428340673446655,1.1713159132597974,1.1250329136477082,12097700,2000,2,24,-1
122201,134226,25,-0.00712046387025822,0.011121821631307701,1.1428344511764337,1.149954915046692,1.164195842787208,1.1428344511764337,13524800,2000,2,29,-1
122202,134227,25,-0.014240922548719892,0.05480041203438915,1.1499544958091292,1.1641954183578491,1.2247193391899087,1.1179124200745096,21707100,2000,3,1,-1
122204,134229,25,-0.017801158244793225,0.0260345929820348,1.1392741276667668,1.15707528591156,1.1748764441563533,1.1250332010709323,13358800,2000,3,3,-1
122205,134230,25,0.049843225839002914,0.038999124841942005,1.181996498467787,1.1321532726287842,1.1891169593019304,1.114352120543426,13047100,2000,3,6,-1
122206,134231,25,0.017801153774078537,0.01520489325564161,1.1321533800314028,1.1143522262573242,1.1392738415410344,1.1107919955025083,12009900,2000,3,7,-1
122207,134232,25,0.021361370365341026,0.01735289530108778,1.1179117157861784,1.0965503454208374,1.1250321725746253,1.092990117026614,11810100,2000,3,8,-1
122211,134236,25,0.019581267194610064,0.017297358346052363,1.1285930364893488,1.1090117692947388,1.1285930364893488,1.096550962898169,11983600,2000,3,14,-1
122212,134237,25,-0.04628298334453418,0.03411043409762267,1.1001109118046968,1.146393895149231,1.1606348131013953,1.0965506823166558,13071300,2000,3,15,-1
122213,134238,25,-0.007294442182705696,0.012955597725974181,1.174405191415622,1.1816996335983276,1.196288517963739,1.170757970324269,13253000,2000,3,16,-1
122214,134239,25,0.007294442182705474,0.026361149748596456,1.188994075781033,1.1816996335983276,1.188994075781033,1.1379329805020932,16220400,2000,3,17,-1
122215,134240,25,-0.003647220545801577,0.013117302830547722,1.1598161335649162,1.1634633541107178,1.181699456839726,1.1561689130191146,14039000,2000,3,20,-1
122216,134241,25,-0.047413849830627575,0.09144698118710592,1.1379323959350585,1.185346245765686,1.2911156030801625,1.108754642193134,34490700,2000,3,21,-1
122217,134242,25,0.0510610813496577,0.03766508108123802,1.1853465313313474,1.1342854499816897,1.199935411716964,1.1269910097888811,16078100,2000,3,22,-1
122218,134243,25,0.0,0.011549609881534183,1.1379327774047852,1.1379327774047852,1.148874438725985,1.1269911160835853,13839800,2000,3,23,-1
122221,134246,25,-0.0036472211630580453,0.013453133517582212,1.1379330028741124,1.1415802240371704,1.1525218875263443,1.1269913393849382,12453400,2000,3,28,-1
122222,134247,25,0.025530547487969457,0.015499213871379508,1.1415801948192073,1.1160496473312378,1.1452274158889173,1.1160496473312378,11687300,2000,3,29,-1
122223,134248,25,-0.08753327158994462,0.05320591262930273,1.167110287865927,1.2546435594558716,1.2582907791054525,1.1516096043552078,27460700,2000,3,30,-1
122224,134249,25,0.06929718801774176,0.03683427320853008,1.280174368117229,1.2108771800994873,1.287468808961202,1.2108771800994873,15234000,2000,3,31,-1
122226,134251,25,0.04741387266508279,0.06856676055233317,1.3421773185192698,1.294763445854187,1.3859439702101155,1.2364079102663923,17620000,2000,4,4,-1
122229,134254,25,0.04376663366953526,0.04450637301177888,1.3567656437555948,1.3129990100860596,1.3786489605903625,1.280174034833908,24520100,2000,4,7,-1
122230,134255,25,0.0,0.03472419113049293,1.283821940422058,1.283821940422058,1.2984108261086724,1.2254663976756008,14618200,2000,4,10,-1
122234,134259,25,0.043766655160125234,0.044890404488827085,1.276527442170318,1.2327607870101929,1.3166468760670995,1.2218191232201616,12374300,2000,4,14,-1
122235,134260,25,-0.014588881941402398,0.02701630338354375,1.2254660830778237,1.240054965019226,1.243702185504577,1.1889938782243168,12204000,2000,4,17,-1
122240,134265,25,-0.047413878481496585,0.03462406588986924,1.2364080619405615,1.283821940422058,1.3020580475303258,1.2291136190972545,15395900,2000,4,25,-1
122242,134267,25,0.0036472214216534127,0.011892689699143848,1.2874691618437115,1.283821940422058,1.3020580475303258,1.2765274975787508,12650800,2000,4,27,-1
122244,134269,25,-0.09118051364504054,0.042797805132804824,1.2838216321221714,1.375002145767212,1.3786493663130135,1.2838216321221714,13061100,2000,5,1,-1
122245,134270,25,-0.014588884168409644,0.026557097808801,1.375002332872606,1.3895912170410156,1.4333578695462443,1.3713551118305036,14630900,2000,5,2,-1
122246,134271,25,0.04011942430209081,0.03298027352208887,1.3968854097909824,1.3567659854888916,1.433357613701974,1.3567659854888916,12418300,2000,5,3,-1
122249,134274,25,-0.0291777593528888,0.01881807856836224,1.3822963493430953,1.411474108695984,1.418768548534206,1.375001909504873,11874400,2000,5,8,-1
122252,134277,25,0.029177762092428283,0.032037526421908456,1.4005325804365445,1.3713548183441162,1.4041798006980977,1.3312353954670275,14226500,2000,5,11,-1
122254,134279,25,-0.12765269709504357,0.050016147477674786,1.4698296265515018,1.5974823236465454,1.5974823236465454,1.4698296265515018,27539500,2000,5,15,-1
122255,134280,25,-0.014588880647559588,0.023339029398929095,1.5865407704220815,1.6011296510696411,1.62666019220287,1.5646574494507428,19342100,2000,5,16,-1
122258,134283,25,-0.08753334825689141,0.04047123215813428,1.5172447031194514,1.6047780513763428,1.6230141655965284,1.5172447031194514,11828300,2000,5,19,-1
122261,134286,25,-0.07659166281802388,0.029563790834512823,1.590188808983734,1.6667804718017578,1.6704276938407114,1.590188808983734,14062800,2000,5,24,-1
122267,134292,25,0.06929718592379364,0.038004383796232076,1.5427741918823508,1.4734770059585571,1.546421412194129,1.4515936840878856,12477700,2000,6,2,-1
122277,134302,25,0.07794914526097907,0.037101085543409136,1.5923896817600025,1.5144405364990234,1.6109490020602355,1.5144405364990234,16252000,2000,6,16,-1
122281,134306,25,0.04825420977241368,0.043583142692539635,1.469897466913527,1.4216432571411133,1.4847449160742698,1.3808127719490708,12642700,2000,6,22,-1
122283,134308,25,-0.07052538559354615,0.04387674387384219,1.544134758258688,1.614660143852234,1.6332194558505353,1.5181517214610658,20455200,2000,6,26,-1
122284,134309,25,-0.029694919152693178,0.03858141428045328,1.6035256342454391,1.6332205533981323,1.6703392023389991,1.5664069853045723,15830000,2000,6,27,-1
122287,134312,25,0.025983039912055528,0.024110771518991395,1.6035247488582836,1.577541708946228,1.6035247488582836,1.5404230805004344,12456500,2000,6,30,-1
122296,134321,25,-0.014847448893955839,0.07073592175088791,1.4402025427137102,1.455049991607666,1.536710960524423,1.3659652982439312,18210000,2000,7,14,-1
122297,134322,25,0.048254208905356144,0.03298027352208899,1.451338129384177,1.4030839204788208,1.4587618538311549,1.380812747137887,14723500,2000,7,17,-1
122316,134341,25,-0.07423726081848114,0.036408795893961884,1.7816942596435548,1.855931520462036,1.893050150871277,1.7816942596435548,25322200,2000,8,11,-1
122317,134342,25,-0.03711861488865886,0.02616720135214487,1.8559307444329356,1.8930493593215945,1.9153205282547892,1.83365957549974,13479000,2000,8,14,-1
122320,134345,25,-0.0519660909237456,0.021350541927143887,1.9598640005526948,2.0118300914764404,2.0192538187512614,1.948728409640464,12042500,2000,8,17,-1
122349,134374,25,-0.06424869436863023,0.025237377351386685,1.7649494276559057,1.829198122024536,1.8367567919502568,1.761170092693045,11784600,2000,9,28,-1
122363,134388,25,-0.060469316713737786,0.033598490324065436,1.935018134839607,1.9954874515533447,2.0143841130263875,1.904783476482738,12080800,2000,10,18,-1
122371,134396,25,-0.09826266196060818,0.03811182657974941,2.1957925615043576,2.294055223464966,2.3356278881406074,2.1920132283520264,11827100,2000,10,30,-1
122388,134413,25,0.01889666337617424,0.03930804029493765,2.18445428628572,2.165557622909546,2.207130282337129,2.067294973353441,16103500,2000,11,22,-1
122393,134418,25,0.03023467243400635,0.021243929526372288,2.339407779581223,2.309173107147217,2.3923184563407336,2.309173107147217,13653000,2000,11,30,-1
122401,134426,25,-0.007558666241513912,0.018214744731615672,2.343186534869326,2.35074520111084,2.403655864801437,2.331848535507055,18616400,2000,12,12,-1
122402,134427,25,-0.08812615699826498,0.02623773528896814,2.413890387343776,2.502016544342041,2.5096796884288466,2.402395671213568,14097800,2000,12,13,-1
122415,134440,25,0.22223107843004053,0.05381758595095518,2.8123726132353384,2.590141534805298,2.816204183553097,2.5748152535342608,19989000,2001,1,3,-1
122416,134441,25,0.07663139590510593,0.048368516253858684,2.5594886232305454,2.4828572273254395,2.5748149024115667,2.375573273058291,22367600,2001,1,4,-1
122419,134444,25,-0.09195771341021519,0.02981499941495249,2.5671528327018454,2.6591105461120605,2.6897631172487992,2.5594896899176605,12072400,2001,1,9,-1
122420,134445,25,-0.05747356428303041,0.023150835753363786,2.6476155279716083,2.7050890922546387,2.735741659872255,2.6322892441628003,12244400,2001,1,10,-1
122421,134446,25,0.15326279419678457,0.043199099521296636,2.7050883175732494,2.551825523376465,2.7050883175732494,2.5173413946821883,11954600,2001,1,11,-1
122467,134492,25,0.129511607322232,0.03660842603237581,2.912461770209805,2.782950162887573,2.913081338916863,2.7408123992161806,14757100,2001,3,20,-1
122469,134494,25,0.05886871801262572,0.03433515149535385,2.717264723643119,2.658396005630493,2.720982844981482,2.569782789683718,15703400,2001,3,22,-1
