,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
11072,12075,3,0.06455339336203991,0.021223474402333273,9.102003230092995,9.037449836730955,9.29566341017912,8.97289699193315,10635087,2000,1,3,-1
11073,12076,3,0.11296801966582137,0.0175358906599502,8.892204813183888,8.779236793518066,8.97289641253496,8.714683404324369,10734887,2000,1,4,-1
11074,12077,3,-0.09683037008430695,0.013272610596765794,8.66626930032585,8.763099670410156,8.859928943365931,8.66626930032585,11722632,2000,1,5,-1
11075,12078,3,-0.2904889206529315,0.025004354070677182,8.779238023316797,9.069726943969728,9.102003917370045,8.730822837498458,17479583,2000,1,6,-1
11076,12079,3,-0.25821314032468123,0.02971584971213886,8.908347032709987,9.166560173034668,9.36022043970154,8.908347032709987,15756040,2000,1,7,-1
11077,12080,3,0.19366015697471184,0.020108766352197258,9.295662300834575,9.102002143859863,9.311799961543926,9.005172339654589,10442172,2000,1,10,-1
11078,12081,3,-0.09682980098022931,0.014029913254188689,8.876065821273189,8.972895622253418,9.08586363196966,8.876065821273189,9533285,2000,1,11,-1
11080,12083,3,0.08108773406742209,0.012133005414669723,8.838613178098184,8.757525444030762,8.919702014687568,8.741307345956297,10615929,2000,1,13,-1
11081,12084,3,0.0,0.01093946105103835,8.952136039733887,8.952136039733887,8.98457168274747,8.822395672723358,11217621,2000,1,14,-1
11082,12085,3,0.016217546813484418,0.02442542292681498,8.773742990844246,8.757525444030762,8.952136557053555,8.595348873373958,11348831,2000,1,18,-1
11083,12086,3,-0.048653195974713626,0.010188860488107259,8.530478884103411,8.579132080078125,8.676437920766526,8.530478884103411,16849822,2000,1,19,-1
11084,12087,3,0.16217654853669572,0.022094724855230168,8.48182433753816,8.319647789001465,8.530476971342626,8.222342521392534,15429241,2000,1,20,-1
11085,12088,3,0.08108830053503802,0.016850503327555087,8.173691984006718,8.09260368347168,8.2061270837163,7.97908028322706,18903505,2000,1,21,-1
11086,12089,3,0.1621765841767262,0.017265809817811017,7.946643804483123,7.7844672203063965,8.011514548406018,7.7844672203063965,20606554,2000,1,24,-1
11087,12090,3,0.0973053130241821,0.023800109194593654,7.784469142827649,7.687163829803467,7.930428214886249,7.622293069859515,22725507,2000,1,25,-1
11089,12092,3,-0.27569943878769365,0.03086810067570349,7.719597516320949,7.995296955108643,8.092603352783323,7.687162417936764,16105783,2000,1,27,-1
11091,12094,3,-0.17839405728827806,0.03648015190895429,8.270993493065726,8.449387550354004,8.530475257066135,8.027728719146948,11452194,2000,1,31,-1
11093,12096,3,-0.08108829245050408,0.009099573090657712,8.498043787627621,8.579132080078125,8.62778472479181,8.498043787627621,10301829,2000,2,2,-1
11097,12100,3,0.016217552821521153,0.01766481293489915,8.871052109401111,8.85483455657959,8.952139873508717,8.692657925842008,10834240,2000,2,8,-1
11104,12107,3,0.17839352369300165,0.01947936707790091,9.065657775401986,8.887264251708984,9.146746592665572,8.85482916581223,9944512,2000,2,17,-1
