,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
18940,20945,5,0.0,0.021352504749198115,12.73243522644043,12.73243522644043,12.739612637270774,12.294622748447322,265100,2001,10,25,-1
18960,20965,5,-0.15072144980847568,0.010577690000735976,14.59851274971545,14.749234199523926,14.799476051743914,14.54109485898596,286500,2001,11,23,-1
18981,20986,5,0.10048103363136462,0.004610830813994048,18.768503189393083,18.66802215576172,18.768503189393083,18.62495905119848,181100,2001,12,24,-1
40934,44943,9,1.7699995040893555,0.07433209963332447,16.6299991607666,14.859999656677246,16.75,14.800000190734863,99894300,2005,1,11,-1
41438,45447,9,0.3699989318847621,0.03797060637315143,18.6299991607666,18.26000022888184,18.770000457763672,17.6200008392334,123328200,2007,1,12,-1
41507,45516,9,-0.8099994659423846,0.04507383915298965,13.760000228881836,14.56999969482422,14.65999984741211,13.600000381469728,123830100,2007,4,24,-1
42153,46162,9,0.15999984741210938,0.034904826557749784,6.639999866485596,6.480000019073486,6.730000019073486,6.349999904632568,163101700,2009,11,12,-1
43072,47081,9,-0.23000001907348633,0.04047122844547344,4.21999979019165,4.449999809265137,4.449999809265137,4.159999847412109,106975700,2013,7,11,-1
43078,47087,9,-0.040000200271606445,0.03484687094997803,3.990000009536743,4.03000020980835,4.079999923706055,3.849999904632568,151516000,2013,7,19,-1
43267,47276,9,-0.1099996566772461,0.0353372885022978,4.010000228881836,4.119999885559082,4.199999809265137,3.9600000381469727,102651500,2014,4,21,-1
43326,47335,9,0.09999990463256836,0.05089233886658381,4.630000114440918,4.53000020980835,4.800000190734863,4.409999847412109,156113700,2014,7,15,-1
43329,47338,9,-0.0999999046325688,0.027193808541826174,3.7300000190734863,3.829999923706055,3.839999914169312,3.670000076293945,137577700,2014,7,18,-1
43445,47454,9,0.0,0.0,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,0,2015,1,2,-1
43773,47782,9,-0.7999999523162842,0.13627335220177958,3.190000057220459,3.990000009536743,3.990000009536743,3.180000066757202,143265300,2016,4,22,-1
43836,47845,9,-0.1100001335144043,0.05472993444603109,5.730000019073486,5.840000152587891,5.96999979019165,5.449999809265137,101838300,2016,7,22,-1
43870,47879,9,0.3299999237060547,0.0387593197461072,6.230000019073486,5.900000095367432,6.239999771118164,5.849999904632568,170828000,2016,9,9,-1
43919,47928,9,-0.6700000762939453,0.07270796115553821,7.789999961853027,8.460000038146973,8.770000457763672,7.769999980926514,124235500,2016,11,17,-1
43933,47942,9,-0.44000053405761896,0.050516805838960996,9.899999618530272,10.34000015258789,10.65999984741211,9.800000190734863,104613000,2016,12,8,-1
43969,47978,9,-1.1600008010864276,0.06968560493690776,10.899999618530272,12.0600004196167,12.140000343322754,10.8100004196167,165939300,2017,2,1,-1
43972,47981,9,-1.1700000762939453,0.0608449830519106,12.460000038146973,13.630000114440918,13.699999809265137,12.380000114440918,140474100,2017,2,6,-1
43973,47982,9,0.7600002288818359,0.05321291024145496,14.050000190734863,13.289999961853027,14.270000457763672,13.0600004196167,158683800,2017,2,7,-1
43987,47996,9,0.9899997711181641,0.048231479968977455,15.449999809265137,14.460000038146973,15.550000190734863,14.350000381469728,141783000,2017,2,28,-1
43989,47998,9,0.690000534057619,0.038163665497580365,14.59000015258789,13.899999618530272,14.779999732971191,13.869999885559082,104330900,2017,3,2,-1
43990,47999,9,0.5200004577636719,0.035994337849447035,13.550000190734863,13.029999732971191,13.579999923706056,12.789999961853027,163395900,2017,3,3,-1
44000,48009,9,0.13000011444091797,0.016843416245361308,13.619999885559082,13.489999771118164,13.739999771118164,13.359999656677246,224892300,2017,3,17,-1
44014,48023,9,0.14999961853027166,0.028788594602224347,13.420000076293944,13.270000457763672,13.460000038146973,12.829999923706056,139500100,2017,4,6,-1
44031,48040,9,1.4099998474121076,0.07961042218921492,11.729999542236328,10.31999969482422,11.760000228881836,10.300000190734863,268336500,2017,5,2,-1
44032,48041,9,-0.10000038146972656,0.04858622312005175,10.289999961853027,10.390000343322754,10.68000030517578,9.850000381469728,140899400,2017,5,3,-1
44041,48050,9,-1.0900001525878906,0.05615891634453816,11.65999984741211,12.75,12.770000457763672,11.630000114440918,164186900,2017,5,16,-1
44042,48051,9,0.6100006103515625,0.057924114467102744,11.8100004196167,11.199999809265137,12.289999961853027,11.15999984741211,160109500,2017,5,17,-1
44056,48065,9,0.03999996185302557,0.034818005222169525,12.420000076293944,12.380000114440918,12.960000038146973,12.229999542236328,151005900,2017,6,7,-1
44058,48067,9,0.8200006484985369,0.08507952524655503,13.100000381469728,12.279999732971191,13.399999618530272,11.630000114440918,167454400,2017,6,9,-1
44059,48068,9,-0.3400001525878906,0.0549583919578523,11.75,12.09000015258789,12.350000381469728,11.270000457763672,125781800,2017,6,12,-1
44066,48075,9,-0.619999885559082,0.03895941406477215,13.359999656677246,13.979999542236328,14.010000228881836,13.130000114440918,188796100,2017,6,21,-1
44067,48076,9,-0.27999973297118963,0.04025221593325603,14.100000381469728,14.380000114440918,14.5,13.5600004196167,149594200,2017,6,22,-1
44068,48077,9,-0.020000457763671875,0.032379728572889656,14.149999618530272,14.170000076293944,14.670000076293944,13.899999618530272,200777300,2017,6,23,-1
44069,48078,9,0.31000041961669744,0.027563224506235835,14.390000343322754,14.079999923706056,14.489999771118164,13.84000015258789,101012500,2017,6,26,-1
44075,48084,9,-0.8299999237060547,0.04188925696439672,12.359999656677246,13.1899995803833,13.210000038146973,12.31999969482422,99450200,2017,7,5,-1
44089,48098,9,0.18000030517578125,0.01917526713423065,14.289999961853027,14.109999656677246,14.31999969482422,13.869999885559082,98047400,2017,7,25,-1
44090,48099,9,0.36999988555908203,0.049992343688029094,15.130000114440918,14.760000228881836,15.649999618530272,14.399999618530272,236083000,2017,7,26,-1
44091,48100,9,0.869999885559082,0.056042868433422155,14.989999771118164,14.119999885559082,15.039999961853027,13.699999809265137,130303700,2017,7,27,-1
44129,48138,9,-0.6700000762939435,0.0451762678085419,13.06999969482422,13.739999771118164,13.800000190734863,12.800000190734863,102682400,2017,9,20,-1
44130,48139,9,0.5900001525878906,0.04011043048374156,14.0,13.40999984741211,14.239999771118164,13.31999969482422,166821900,2017,9,21,-1
44154,48163,9,0.6199998855590803,0.039705369275847675,12.949999809265137,12.329999923706056,13.130000114440918,12.289999961853027,166762100,2017,10,25,-1
44157,48166,9,0.36999988555908203,0.04192298837600977,11.260000228881836,10.890000343322754,11.420000076293944,10.649999618530272,137785100,2017,10,30,-1
44181,48190,9,0.8200006484985369,0.060455608709491224,10.850000381469728,10.029999732971191,10.859999656677246,9.81999969482422,97328300,2017,12,4,-1
44201,48210,9,0.05999946594238281,0.03988172664635845,11.609999656677246,11.550000190734863,12.140000343322754,11.359999656677246,154066700,2018,1,3,-1
