,financial_data_id,company_id,returns,volatility,open,close,high,low,volume,year,month,day,outlier
45297,49807,10,1.6776177190965207,0.03907869450397013,27.680692365092614,26.003074645996094,27.680692365092614,25.936852893926496,5414600,2000,5,10,-1
45298,49808,10,-0.04414782804601458,0.04129540710481525,26.223809859331915,26.26795768737793,27.239209904390226,25.429148954503678,8446200,2000,5,11,-1
45299,49809,10,-1.015400152236893,0.026306155819306495,26.62114312168889,27.63654327392578,27.81313460474959,26.62114312168889,14459200,2000,5,12,-1
45300,49810,10,-1.5893220248287676,0.03806158696583608,27.415804928296232,29.005126953125,29.115496538182555,27.327509260250192,5610400,2000,5,15,-1
45334,49844,10,-1.2361391351578064,0.024449558330115573,31.963026209080475,33.19916534423828,33.19916534423828,31.8747305565692,337500,2000,7,3,-1
45509,50019,10,-0.2542919046035834,0.025065262318075692,34.25871239837494,34.51300430297852,35.42421606295154,33.976165238911086,6291600,2001,3,14,-1
45518,50028,10,-1.3067752667717158,0.02826107121115136,33.72895700251539,35.03573226928711,35.03573226928711,33.42521958252916,6396100,2001,3,27,-1
45525,50035,10,1.5893218683641983,0.03807840124137538,31.963028685991155,30.373706817626957,31.963028685991155,29.99933408423013,5495400,2001,4,5,-1
45526,50036,10,-0.014127633942734974,0.06991154110751877,31.044765569792617,31.05889320373535,32.13963160193336,28.607803953369253,6003500,2001,4,6,-1
45553,50063,10,0.6710473986723606,0.021758219529336376,30.30306453429248,29.63201713562012,30.37369996801838,29.292962203511458,5785500,2001,5,16,-1
45554,50064,10,-1.9425047698484335,0.038263510270037854,29.98521053166524,31.927715301513672,31.92771530151367,29.95695527013427,6668900,2001,5,17,-1
45568,50078,10,1.504559039936236,0.04208547834893749,30.006401538715533,28.501842498779297,30.26775597936216,28.21929795862812,5347900,2001,6,7,-1
45603,50113,10,-2.1544142752635906,0.05444349659061572,24.19301881494637,26.34743309020996,26.48870673169311,24.19301881494637,5395500,2001,7,27,-1
45635,50145,10,1.9848863163050048,0.07263943710136918,19.460365442281567,17.475479125976562,19.5310022488754,17.305951598522384,5554600,2001,9,18,-1
45640,50150,10,0.8264475356563601,0.057027657161881184,17.95580773463097,17.12936019897461,18.01231691026196,16.38061328504274,12233500,2001,9,25,-1
45641,50151,10,0.8829564464335515,0.1575658133439746,9.53592962148238,8.652973175048828,11.019296720947676,8.476381885762118,53040600,2001,9,26,-1
45642,50152,10,-0.5933467536013222,0.04900494420016882,8.744799456115475,9.338146209716797,9.465291461458358,8.723608693098917,20387900,2001,9,27,-1
45643,50153,10,0.1977827503100169,0.043064418920869055,9.25338482397945,9.055602073669434,9.493548437397534,8.836629228626572,14313100,2001,9,28,-1
